TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,87.45,87.45,86,86,3000
8-Oct-20,82.91,89.16,82.36,86.73,79000
7-Oct-20,82.6,84.35,82.5,82.94,37500
6-Oct-20,83.11,85.47,83,83,50000
5-Oct-20,86.99,92.44,81.04,83.83,63500
2-Oct-20,87.01,87.5,86,86,8000
1-Oct-20,83.46,90.59,83.46,88.56,58000
30-Sep-20,85,85,84.25,84.27,6500
29-Sep-20,84.03,84.95,84.03,84.85,7000
28-Sep-20,85,85,85,85,58000
25-Sep-20,85,86,85,85.85,52000
24-Sep-20,84.06,85,84,85,7000
23-Sep-20,84.01,85.84,84.01,85,2500
22-Sep-20,85,86,83.8,84.86,12000
21-Sep-20,84.95,85.93,84.4,84.67,3500
18-Sep-20,84.49,86,84.1,84.94,66500
17-Sep-20,86.7,88,78.92,83.89,79500
16-Sep-20,86.1,86.25,85.11,85.31,12000
15-Sep-20,87.5,87.5,86.25,86.25,1000
14-Sep-20,87.01,87.01,86,86.99,27500
11-Sep-20,87.5,87.99,86.03,86.9,134000
10-Sep-20,87.25,88.99,85.35,85.91,55500
9-Sep-20,84.55,86,84,86,97000
8-Sep-20,84.75,87.76,83.61,84.9,210500
7-Sep-20,85.8,85.97,85,85.9,12000
4-Sep-20,85.52,86.69,85.5,85.78,16500
3-Sep-20,86,86.99,85.1,86.88,37000
2-Sep-20,85.2,86.8,85,86.7,53000
1-Sep-20,86.01,86.01,84.1,85.99,6000
31-Aug-20,87.99,88,85.5,85.99,71500
28-Aug-20,87,87.29,86,87.17,4500
27-Aug-20,87.75,89.89,86.56,87,77500
26-Aug-20,86.75,88,85,85.79,167000
25-Aug-20,89.89,89.9,87.25,87.94,12500
24-Aug-20,91.91,94.1,87,87.88,17500
21-Aug-20,90.95,91.98,85.23,87.61,21000
20-Aug-20,85.75,91.37,85.01,88.58,1554000
19-Aug-20,85.05,85.05,85,85,15500
18-Aug-20,85.5,86,85.01,85.5,10000
17-Aug-20,85,85.5,85,85.5,23500
13-Aug-20,83.77,84.99,83.77,84.5,6500
12-Aug-20,85.94,86.5,84.55,85.02,124500
11-Aug-20,84,85.49,83.5,85,28000
10-Aug-20,86.8,86.8,83.5,83.61,55000
7-Aug-20,85,85.99,84,84.48,74000
6-Aug-20,88.49,88.5,81,83.96,137000
5-Aug-20,84.01,88,84,86.13,42000
4-Aug-20,84.9,86.98,84,84.01,68000
3-Aug-20,85.8,85.8,83,84.07,44500
30-Jul-20,85.49,85.49,82.51,83.03,32000
29-Jul-20,82.8,85.5,82.5,83.4,215500
28-Jul-20,80.4,85.5,79.7,84.13,199000
27-Jul-20,79.3,80.1,78.5,79.54,305000
24-Jul-20,78.19,82.82,78,78.75,20500
23-Jul-20,78.35,78.39,77,78.19,9000
22-Jul-20,77,77.49,76.51,77.21,17500
21-Jul-20,77,77.28,76.5,76.58,11500
20-Jul-20,76.51,77.38,76.51,76.88,17000
17-Jul-20,76,77.02,76,76.7,52500
16-Jul-20,76.9,76.95,75.99,76,15500
15-Jul-20,77,77.5,75.5,76.5,27500
14-Jul-20,79.15,79.15,76.94,77.08,46500
13-Jul-20,78.06,79.7,78.06,78.15,18500
10-Jul-20,77.1,81,77.1,77.99,50000
9-Jul-20,76,79,75.4,76.97,122000
8-Jul-20,76.4,76.49,73,76,56000
7-Jul-20,75.99,76.5,75.17,75.98,15500
6-Jul-20,74.6,75.8,74.55,75.8,7500
3-Jul-20,0,75,75,75.8,125000
2-Jul-20,74.55,75.9,74.5,75.8,13000
1-Jul-20,76.5,76.5,75.01,75.42,56000
30-Jun-20,73.99,78.47,73.99,76.58,873000
29-Jun-20,73,73,72.99,73,22500
26-Jun-20,73.01,73.01,72.55,72.55,10500
25-Jun-20,73.11,73.11,73,73,45000
