TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,18,18,17.7,18,172500
8-Oct-20,18,18,17.51,17.98,1452500
7-Oct-20,18.5,18.8,18.01,18.21,210000
6-Oct-20,18.1,18.41,18.06,18.37,73000
5-Oct-20,18.25,18.49,17.5,18.05,278500
2-Oct-20,18.41,18.5,18.3,18.32,51000
1-Oct-20,18.42,18.64,18.41,18.52,958500
30-Sep-20,18.8,18.8,18.5,18.52,38000
29-Sep-20,18.51,18.9,18.51,18.9,126500
28-Sep-20,19.01,19.01,18.55,18.6,202500
25-Sep-20,18.82,19.29,18.81,18.99,19283500
24-Sep-20,19,19.05,18.84,19,45000
23-Sep-20,19,19.15,18.9,19.05,74000
22-Sep-20,19.15,19.4,18.91,19.01,131000
21-Sep-20,19.3,19.35,19.02,19.13,175500
18-Sep-20,19.2,19.35,19.2,19.31,638000
17-Sep-20,19.65,19.65,19.12,19.17,668500
16-Sep-20,19.1,19.19,19.06,19.07,75500
15-Sep-20,19.15,19.25,19.02,19.09,127500
14-Sep-20,19.5,19.5,19.05,19.13,343500
11-Sep-20,19.6,19.86,19.32,19.39,1180000
10-Sep-20,19.5,19.9,19.33,19.53,1482000
9-Sep-20,19.51,19.7,19.25,19.3,801500
8-Sep-20,19.95,19.95,19.4,19.48,976500
7-Sep-20,19.87,19.87,19.57,19.7,180500
4-Sep-20,20.01,20.01,19.8,19.89,339000
3-Sep-20,19.77,20.1,19.65,20.04,305500
2-Sep-20,19.95,20,19.65,19.77,788000
1-Sep-20,19.8,19.87,19.54,19.8,128500
31-Aug-20,19.7,19.99,19.5,19.79,428500
28-Aug-20,19.85,19.97,19.65,19.82,43500
27-Aug-20,19.85,19.85,19.57,19.64,197500
26-Aug-20,19.41,19.84,19.31,19.5,1186000
25-Aug-20,19.48,19.89,19.4,19.7,233500
24-Aug-20,19.45,19.45,19.05,19.4,146500
21-Aug-20,19.41,19.5,19,19.05,671000
20-Aug-20,19.51,19.8,19.5,19.52,271500
19-Aug-20,20.11,20.25,19.53,19.65,3703000
18-Aug-20,20.7,21,20.21,20.22,485500
17-Aug-20,20.75,21.14,20.33,20.7,2785500
13-Aug-20,18.5,19.67,18.24,19.67,6582500
12-Aug-20,17.9,18.85,17.9,18.3,1840000
11-Aug-20,17.99,18.1,17.81,17.9,3308000
10-Aug-20,17.99,18.15,17.76,17.96,2651000
7-Aug-20,17.72,18,17.71,17.99,1609500
6-Aug-20,18.25,18.3,17.8,17.85,1747500
5-Aug-20,18.05,18.5,18.02,18.17,1542000
4-Aug-20,17.55,18.6,17.36,18.02,5159500
3-Aug-20,16.79,17.7,16.75,17.48,2855000
30-Jul-20,16.5,16.75,16.26,16.67,1343500
29-Jul-20,16.45,16.7,16.25,16.37,1593500
28-Jul-20,16.15,16.51,16,16.46,2597000
27-Jul-20,15.6,16.1,15.6,16,563500
24-Jul-20,15.19,15.8,15.19,15.75,192000
23-Jul-20,15.75,15.8,15.5,15.5,92000
22-Jul-20,15.21,15.95,15.21,15.78,379500
21-Jul-20,15.5,15.74,15.35,15.45,177000
20-Jul-20,15.5,15.75,15.4,15.69,197000
17-Jul-20,15.3,15.65,15.25,15.58,282500
16-Jul-20,15.21,15.4,15.01,15.3,215500
15-Jul-20,15.37,15.4,15.25,15.29,138500
14-Jul-20,15.45,15.65,15.4,15.5,345000
13-Jul-20,15.35,15.65,15.35,15.65,1139000
10-Jul-20,15.48,15.84,15.3,15.38,736500
9-Jul-20,14.2,15.22,14.2,15.22,2759000
