TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,34.5,35.4,34.5,34.97,330099
8-Oct-20,34.8,35.45,34.35,34.61,1849958
7-Oct-20,34.66,35.36,34.65,35.01,1201127
6-Oct-20,34.1,36.22,33.6,35.02,577998
5-Oct-20,34.4,34.5,33.78,34,547098
2-Oct-20,34.82,35.49,34.25,34.54,997768
1-Oct-20,34.8,36,33.91,35.36,1919295
30-Sep-20,35.5,35.7,34.7,34.78,611436
29-Sep-20,34.5,35.56,34.5,35.28,835145
28-Sep-20,35,35,33.99,34.39,713807
25-Sep-20,34.75,35,34.53,34.93,203768
24-Sep-20,35.12,35.12,34.5,34.65,2856470
23-Sep-20,35.3,35.64,35,35.35,3220513
22-Sep-20,35.5,35.55,35.13,35.42,438043
21-Sep-20,35.8,35.99,35.75,35.79,451585
18-Sep-20,35.98,35.98,35.4,35.92,376131
17-Sep-20,36,36,35.6,35.63,265318
16-Sep-20,35.71,36.29,35.47,35.67,2876195
15-Sep-20,35.9,36.36,35.83,36.02,988262
14-Sep-20,36.35,36.69,35.7,35.8,500038
11-Sep-20,36.9,37.29,36.16,36.25,693695
10-Sep-20,35,37.9,35,36.71,11348709
9-Sep-20,35,35.38,34.6,35.26,1779831
8-Sep-20,35.89,35.89,34.7,34.83,1656756
7-Sep-20,35.54,36,35.42,35.49,719117
4-Sep-20,36,36,35.55,35.81,1164525
3-Sep-20,36.23,36.4,35.84,35.99,1385014
2-Sep-20,35.26,36.2,35.26,35.89,1681363
1-Sep-20,35.18,35.59,35.01,35.26,2300118
31-Aug-20,34.61,35.2,34.61,35.04,1110128
28-Aug-20,34.52,35,34.5,34.55,650429
27-Aug-20,35.34,35.34,34.5,34.61,2124611
26-Aug-20,36.52,37,34.7,35.06,8690361
25-Aug-20,36.45,37.49,36.43,37.25,1040346
24-Aug-20,36.69,37.2,36.36,36.65,762587
21-Aug-20,36.53,37.34,36.1,36.95,956450
20-Aug-20,37,37,36.4,36.53,179590
19-Aug-20,37.12,37.38,36.7,36.9,1382702
18-Aug-20,37.79,37.85,37.1,37.21,445377
17-Aug-20,38.1,38.4,37.12,37.51,1714228
13-Aug-20,38.46,38.55,37.88,38.25,1084042
12-Aug-20,38.4,39.4,38.21,38.56,2839141
11-Aug-20,39,39.9,38.25,38.67,12524035
10-Aug-20,37.99,39,37.98,38.77,6532790
7-Aug-20,37.65,38.75,37.45,38.1,5431278
6-Aug-20,37.5,37.95,37,37.74,1724656
5-Aug-20,37.4,37.5,36.8,37.33,1608615
4-Aug-20,38.01,38.75,37,37.4,6750786
3-Aug-20,37.3,38.8,37.26,38.15,6738098
30-Jul-20,37.55,37.94,37.11,37.27,2184112
29-Jul-20,37.99,38.7,37.15,37.55,4394553
28-Jul-20,37.67,38.39,37.11,37.88,13656179
27-Jul-20,37.17,38.51,36.8,37.33,7901342
24-Jul-20,35.99,37.95,35.35,37.26,3627877
23-Jul-20,36,36.9,35.75,35.89,1129745
22-Jul-20,36.12,37.75,35.8,36.13,3628865
21-Jul-20,36.35,36.99,35.57,36.55,2201361
20-Jul-20,35.94,36.7,35.2,36.21,5279676
17-Jul-20,35.57,35.57,35,35.42,882994
16-Jul-20,35.75,35.75,35.17,35.3,651015
15-Jul-20,35.11,35.99,35,35.82,739600
14-Jul-20,35.97,36,35.26,35.43,653460
13-Jul-20,36.1,36.45,35.51,35.98,2934039
10-Jul-20,36.35,37.99,35.9,36.22,2787778
9-Jul-20,34.77,37.13,34.15,36.52,12840287
8-Jul-20,34.5,34.95,33.82,34.54,3083350
7-Jul-20,33.2,34.77,33.1,34.35,1698919
6-Jul-20,33.75,33.75,33,33.07,687824
3-Jul-20,32.36,34.95,32.36,33.53,714342
2-Jul-20,32.94,33.25,32.5,32.6,1228363
1-Jul-20,33.25,33.6,32.4,32.52,1316660
30-Jun-20,33.6,34,32.8,33.57,1942607
29-Jun-20,31.52,33.95,31.52,33.25,904324
26-Jun-20,32.9,32.9,31.9,32.02,579376
25-Jun-20,33.89,34,33.1,33.29,928686
24-Jun-20,33.65,34.33,33.5,33.71,793230
23-Jun-20,33.65,34.42,33.52,34.03,395976
22-Jun-20,34.3,35,33.2,33.66,1244003
19-Jun-20,33.25,34.25,32.71,33.89,5760737
18-Jun-20,33.14,33.49,32.24,33.1,934015
17-Jun-20,33.2,34.5,32.7,33.15,1340712
16-Jun-20,33.3,33.65,32.5,32.71,1003767
15-Jun-20,34,34,32.75,33.22,267797
12-Jun-20,33.5,33.97,32.63,33.82,327735
11-Jun-20,34.85,35.24,33.26,34.16,1719550
10-Jun-20,32.49,34.48,31.56,34.42,3808295
9-Jun-20,31.5,32.45,31.45,32.08,533415
8-Jun-20,32,32,31.5,31.78,377406
5-Jun-20,31.56,32.2,31.56,31.71,118007
4-Jun-20,32.22,32.25,31.21,32.05,824808
3-Jun-20,31.9,33.25,31.9,32.22,3834396
2-Jun-20,29.27,31.25,28.93,31.25,5811653
1-Jun-20,29,29.74,28.8,29.07,1666769
29-May-20,28.98,29,28.26,28.79,555516
