TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,61.63,64,61.6,62.61,884364
8-Oct-20,63.48,63.49,61.54,62.03,744791
7-Oct-20,63.75,64,62,63.27,920036
6-Oct-20,64.01,64.99,63,63.41,554404
5-Oct-20,64.99,64.99,62.1,64.6,76345
2-Oct-20,64,65,63.51,64.97,193055
1-Oct-20,65,65,63.2,63.99,435647
30-Sep-20,64.5,65.5,64,64.57,973565
29-Sep-20,63,65.99,63,64.96,179222
28-Sep-20,65,65,61.16,62.31,388318
25-Sep-20,65.2,65.2,64.6,64.98,465656
24-Sep-20,64.7,65,64.2,65,271769
23-Sep-20,65.4,65.4,64.6,64.75,467297
22-Sep-20,65,65.4,64.8,65.03,424489
21-Sep-20,65.28,65.83,65.25,65.26,322784
18-Sep-20,65.5,66,65,65.83,236729
17-Sep-20,65.2,65.47,64.92,65.17,159264
16-Sep-20,65.5,65.5,64.88,64.99,313672
15-Sep-20,65.25,65.5,64.82,65.01,209199
14-Sep-20,65.35,65.35,64.5,65,188452
11-Sep-20,65.1,65.45,64.81,64.9,182475
10-Sep-20,65.8,66.46,65,65.05,1769381
9-Sep-20,64.75,65.39,64.1,65.29,841887
8-Sep-20,65.5,65.5,64.5,65,447565
7-Sep-20,65.6,65.65,64.99,65.25,289857
4-Sep-20,65.3,65.88,64.25,65.25,653659
3-Sep-20,65.5,65.98,64.5,64.72,1967800
2-Sep-20,66,66.25,65.35,65.5,1554624
1-Sep-20,65.85,65.85,65.02,65.27,154170
31-Aug-20,65.11,65.9,65,65.23,559392
28-Aug-20,65.5,66.34,65.06,65.2,121901
27-Aug-20,66.45,66.79,65.5,65.59,1349410
26-Aug-20,65.12,66.8,65,65.81,339041
25-Aug-20,65.6,65.97,64.98,65.7,1135626
24-Aug-20,65.52,66.39,65.11,65.29,153357
21-Aug-20,66.49,66.49,65.26,65.52,984229
20-Aug-20,65.79,66,64.6,65.73,413156
19-Aug-20,65.01,65.9,65.01,65.3,152306
18-Aug-20,64.95,65.7,64.2,65.5,408262
17-Aug-20,64.99,65.25,63.7,64.64,1296822
13-Aug-20,63.99,64.85,63.5,64.64,215212
12-Aug-20,63.83,64.4,63.08,63.42,220003
11-Aug-20,64.15,64.89,63,63.24,545887
10-Aug-20,63.5,64.75,63.5,64.17,255409
7-Aug-20,63.18,64.45,63.15,63.5,608976
6-Aug-20,63.7,64.8,63.01,63.44,922647
5-Aug-20,65.5,65.5,63.27,63.51,1161915
4-Aug-20,64.99,66,64.11,64.35,762979
