TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,10.1,10.29,9.88,9.91,518000
8-Oct-20,10.26,10.39,10.15,10.19,76000
7-Oct-20,10.11,10.44,10,10.27,126000
6-Oct-20,9.95,10.35,9.75,10.01,399000
5-Oct-20,10,10.16,9.8,9.91,342000
2-Oct-20,10.3,10.39,10,10.08,390000
1-Oct-20,10.2,10.4,10.17,10.33,205500
30-Sep-20,11,11.05,10.25,10.31,1177500
29-Sep-20,10.75,11.08,10.33,11,1386500
28-Sep-20,11,11.05,10.4,10.53,221000
25-Sep-20,10.66,11.2,10.6,11.09,684500
24-Sep-20,10.75,10.75,10.56,10.66,182500
23-Sep-20,10.98,10.98,10.8,10.85,69000
22-Sep-20,11,11.05,10.73,10.9,180500
21-Sep-20,10.85,11.05,10.85,10.88,184000
18-Sep-20,11.2,11.25,10.76,11.12,1335000
17-Sep-20,11.25,11.4,11,11.05,346500
16-Sep-20,11.47,11.55,11.13,11.2,1856500
15-Sep-20,11.3,11.5,10.95,11.39,3302500
14-Sep-20,11.01,11.47,10.51,11.21,3908000
11-Sep-20,11.5,11.68,11.02,11.16,982000
10-Sep-20,11.88,11.89,11.25,11.29,1800500
9-Sep-20,11.5,11.99,11.46,11.66,1297500
8-Sep-20,12.25,12.29,11.43,11.81,3155500
7-Sep-20,12,12.22,11.66,12.18,9881000
4-Sep-20,11.8,12.05,11.52,11.98,10727500
3-Sep-20,11.6,12.24,11.52,12.05,20726000
2-Sep-20,10.99,11.24,10.51,11.24,14476500
1-Sep-20,10.2,10.55,9.36,10.24,22104000
31-Aug-20,9.99,9.99,9.7,9.93,40929500
28-Aug-20,8,8.99,8,8.99,10408000
27-Aug-20,7.86,8.15,7.86,7.99,4007500
26-Aug-20,7.9,7.98,7.85,7.97,830500
25-Aug-20,7.9,7.99,7.83,7.9,805000
24-Aug-20,7.9,7.9,7.8,7.86,214500
21-Aug-20,7.87,7.95,7.76,7.84,711000
20-Aug-20,8,8,7.85,7.86,297500
19-Aug-20,7.9,8,7.86,7.88,1478000
18-Aug-20,7.98,7.98,7.85,7.86,729000
17-Aug-20,7.82,8,7.82,7.89,355500
13-Aug-20,7.96,7.99,7.75,7.91,526500
12-Aug-20,8,8,7.86,7.92,1311500
11-Aug-20,7.9,8.01,7.9,7.99,744500
10-Aug-20,8.13,8.13,7.97,8,603000
7-Aug-20,8.15,8.15,7.99,8.01,1858000
6-Aug-20,8.15,8.15,8.02,8.03,398000
5-Aug-20,8.1,8.18,7.99,8.03,2552000
4-Aug-20,8.16,8.21,7.97,7.99,2244000
3-Aug-20,8.1,8.22,7.97,8,2306000
30-Jul-20,8.15,8.2,8,8.1,487000
29-Jul-20,8.1,8.15,7.98,8,593000
28-Jul-20,8.25,8.25,8.01,8.06,742000
27-Jul-20,7.95,8.27,7.8,8.13,2484500
24-Jul-20,7.67,7.99,7.67,7.88,172000
23-Jul-20,7.85,7.94,7.7,7.72,856500
22-Jul-20,7.93,7.98,7.75,7.79,1130500
21-Jul-20,8.19,8.19,7.89,7.93,1004500
20-Jul-20,8,8.2,8,8.01,441500
17-Jul-20,7.96,8.05,7.89,8.02,674500
16-Jul-20,7.96,7.99,7.86,7.89,554000
15-Jul-20,8.25,8.25,8,8.03,280000
14-Jul-20,8.24,8.24,8.06,8.14,409000
13-Jul-20,8.4,8.4,8.03,8.06,836000
10-Jul-20,8.35,8.68,8.16,8.4,1800000
9-Jul-20,7.55,8.49,7.5,8.37,6980500
8-Jul-20,7.59,7.59,7.42,7.51,520500
7-Jul-20,7.6,7.6,7.37,7.45,473000
6-Jul-20,7.44,7.53,7.41,7.45,240000
3-Jul-20,7.44,7.55,7.41,7.44,1473000
2-Jul-20,7.54,7.6,7.35,7.41,1348000
1-Jul-20,7.4,7.56,7.4,7.51,408500
30-Jun-20,7.33,7.7,7.33,7.56,195000
29-Jun-20,7.27,7.43,7.2,7.42,135000
26-Jun-20,7.51,7.51,7.34,7.35,556500
25-Jun-20,7.55,7.65,7.5,7.6,99500
24-Jun-20,7.77,7.77,7.5,7.52,154500
23-Jun-20,7.7,7.7,7.58,7.66,598500
22-Jun-20,7.7,7.7,7.55,7.6,479000
19-Jun-20,7.75,7.79,7.5,7.65,286500
18-Jun-20,7.72,7.8,7.55,7.62,1064000
17-Jun-20,7.8,8,7.7,7.72,991500
16-Jun-20,7.94,7.94,7.7,7.75,229500
15-Jun-20,7.9,7.92,7.7,7.74,733000
12-Jun-20,8.1,8.1,7.7,7.72,1102500
11-Jun-20,8.01,8.33,8,8.04,4584000
10-Jun-20,7.82,8.03,7.8,8,505500
9-Jun-20,7.81,7.97,7.81,7.83,69500
8-Jun-20,7.95,8,7.75,7.76,247500
5-Jun-20,7.75,7.75,7.65,7.67,49500
4-Jun-20,7.83,7.91,7.5,7.57,463500
3-Jun-20,8.1,8.22,7.7,7.79,350500
2-Jun-20,7.8,8.26,7.7,8.04,1053000
1-Jun-20,7.9,8,7.76,7.79,279500
29-May-20,7.8,7.9,7.8,7.84,296000
28-May-20,7.6,7.74,7.5,7.7,197500
21-May-20,7.5,7.6,7.46,7.51,288500
20-May-20,7.66,7.75,7.51,7.59,388500
19-May-20,7.98,8.1,7.6,7.66,1038500
18-May-20,7.99,7.99,7.69,7.71,175000
15-May-20,8,8,7.6,7.7,569500
14-May-20,8.03,8.05,7.9,8,544000
13-May-20,8.24,8.32,8,8.11,327000
12-May-20,8.1,8.3,8.05,8.24,216500
11-May-20,8.18,8.18,8.02,8.1,28000
8-May-20,8.2,8.2,8,8.15,109000
7-May-20,8.35,8.35,8.08,8.18,55000
6-May-20,8.45,8.45,8,8.16,420500
5-May-20,8.75,9,8,8.11,1455000
4-May-20,8.6,9.01,8.6,8.98,361500
30-Apr-20,8.85,8.88,8.5,8.69,298500
29-Apr-20,9.15,9.25,8.65,8.76,303500
28-Apr-20,9.15,9.49,9.15,9.25,2203500
27-Apr-20,9.01,9.84,9,9.29,626500
24-Apr-20,9.5,9.6,9.31,9.47,7500
23-Apr-20,9.56,9.88,9.5,9.52,554000
22-Apr-20,9.56,9.9,9.55,9.78,52000
21-Apr-20,9.98,9.98,9.75,9.79,54500
20-Apr-20,9.81,10.2,9.81,9.88,853000
17-Apr-20,9.75,10.28,9.25,10,6602000
16-Apr-20,9.61,10,9.5,9.94,359500
15-Apr-20,9.5,10.1,9.5,9.99,290000
14-Apr-20,9.47,9.59,9.25,9.54,106000
13-Apr-20,9.4,9.49,9.2,9.27,577500
10-Apr-20,9.43,9.59,9.4,9.48,158500
9-Apr-20,9.39,9.43,9.35,9.43,61000
8-Apr-20,9.2,9.25,9.06,9.25,42500
7-Apr-20,8.8,9.3,8.76,9.2,19500
6-Apr-20,9.25,9.35,8.9,8.97,248500
3-Apr-20,9.2,9.47,9.2,9.42,576500
2-Apr-20,9,9.5,9,9.2,1150500
1-Apr-20,9.5,9.65,9,9.03,458000
31-Mar-20,8.52,9.52,8.27,9.02,1627000
30-Mar-20,8.69,8.74,8.15,8.52,373000
27-Mar-20,7.85,8.5,7.8,8.19,1881500
26-Mar-20,8.39,8.4,7.35,7.94,2090500
25-Mar-20,8.3,8.38,7.25,7.72,26500
24-Mar-20,7.7,7.7,7.37,7.38,1571500
20-Mar-20,8.3,8.44,7.53,8.37,319000
19-Mar-20,8,8.8,7.51,8,406500
18-Mar-20,8.55,8.55,7.8,8,1640000
17-Mar-20,9.1,9.2,8.45,8.46,2318000
16-Mar-20,9.8,10,9.03,9.18,1856500
13-Mar-20,10,10.34,9.8,10.03,353500
12-Mar-20,10.7,10.73,10.1,10.18,3691500
11-Mar-20,11.25,11.35,10.9,10.99,3228000
10-Mar-20,11.13,11.49,10.99,11.12,2328500
9-Mar-20,12,12,11.55,11.55,957500
6-Mar-20,12.75,12.76,12.5,12.55,750000
5-Mar-20,12.85,13.13,12.6,12.93,2167000
4-Mar-20,13,13.19,12.63,12.79,349000
3-Mar-20,13.12,13.24,13.1,13.1,16500
2-Mar-20,12.92,13.24,12.7,13.12,185500
28-Feb-20,12.79,13.25,12,12.92,1377000
27-Feb-20,12.51,12.9,12.51,12.85,31500
26-Feb-20,13.15,13.15,12.7,12.83,955000
25-Feb-20,12.66,13,12.65,12.99,405500
24-Feb-20,13.05,13.1,12.6,12.95,1916500
21-Feb-20,13.13,13.26,13.1,13.12,56500
20-Feb-20,13.23,13.23,13.11,13.12,4500
19-Feb-20,13.18,13.25,13.1,13.1,359500
18-Feb-20,13,13.29,13,13.2,304500
17-Feb-20,13.05,13.05,12.86,13,320000
14-Feb-20,13.02,13.24,12.9,13.05,655000
13-Feb-20,13.48,13.49,13.01,13.08,405000
12-Feb-20,13.17,13.43,13.1,13.37,1094500
11-Feb-20,13,13.25,12.77,12.93,3278000
10-Feb-20,13.25,13.4,12.56,12.79,3436500
7-Feb-20,13.05,13.49,12.95,13.1,2133500
6-Feb-20,13.24,13.33,13,13.13,625500
4-Feb-20,12.65,13.05,12.65,13.02,819500
3-Feb-20,12.83,12.83,12.26,12.55,794000
31-Jan-20,13.2,13.54,12.81,13.01,856000
30-Jan-20,13.34,13.43,13.2,13.24,929000
29-Jan-20,13.71,13.71,13.32,13.38,1766000
28-Jan-20,13.56,13.8,13.21,13.31,878500
27-Jan-20,13.85,13.95,13.7,13.7,482500
24-Jan-20,13.48,13.9,13.48,13.75,5286500
23-Jan-20,13.5,13.55,13.1,13.4,678500
22-Jan-20,13.63,13.63,13.16,13.32,1076500
21-Jan-20,13.89,13.9,13.5,13.61,151500
20-Jan-20,14,14,13.55,13.73,620000
17-Jan-20,13.78,14.22,13.65,14.03,5557500
16-Jan-20,12.55,13.6,12.49,13.59,6378500
15-Jan-20,12.8,12.8,12.56,12.6,303000
14-Jan-20,12.55,13.1,12.5,12.65,2393500
13-Jan-20,12.35,12.65,12.28,12.4,2625500
10-Jan-20,12,12.34,11.92,12.26,1071500
9-Jan-20,11.79,12.07,11.79,11.95,1148000
8-Jan-20,11.98,11.98,11.41,11.67,217000
7-Jan-20,11.98,12.09,11.86,11.93,751500
6-Jan-20,11.99,12.02,11.65,11.83,357500
3-Jan-20,11.99,12.15,11.9,12.02,2601500
2-Jan-20,11.65,11.99,11.41,11.92,1487000
1-Jan-20,11.2,11.56,11.2,11.47,437000
31-Dec-19,11,11.34,11,11.09,920500
30-Dec-19,11.15,11.25,11.1,11.14,191500
27-Dec-19,11.58,11.8,11.02,11.1,321000
26-Dec-19,11.45,11.75,11.45,11.74,483000
24-Dec-19,11.37,11.5,11,11.47,548000
23-Dec-19,11.7,11.7,11.25,11.28,469500
20-Dec-19,11.82,11.85,11.7,11.7,171500
19-Dec-19,11.98,12.18,11.66,11.96,1045000
18-Dec-19,11.75,12.08,11.6,11.99,3557500
17-Dec-19,12.1,12.1,11.8,11.8,654500
16-Dec-19,11.56,12.2,11.5,12.1,2069000
13-Dec-19,11.76,12,11.5,11.66,979000
12-Dec-19,12,12.1,11.69,11.74,877000
11-Dec-19,11.86,12.38,11.86,12.04,2088000
10-Dec-19,12.24,12.24,11.8,11.86,876000
9-Dec-19,12.4,12.5,12,12.08,1453500
6-Dec-19,12.89,12.91,12.01,12.28,4342000
5-Dec-19,12.49,13.03,12.3,12.86,12947500
4-Dec-19,11.65,12.25,11.55,12.03,11394500
3-Dec-19,12.25,12.38,11.49,11.59,4011000
2-Dec-19,12.38,12.49,12.01,12.13,6253500
29-Nov-19,11.5,12.31,11.49,12.03,12845500
28-Nov-19,11,11.88,10.75,11.31,14528500
27-Nov-19,11.14,11.14,10.9,10.9,18000
26-Nov-19,10.9,11,10.61,10.97,62500
25-Nov-19,11,11,10.8,10.8,4500
22-Nov-19,10.8,11.05,10.51,10.99,6500
21-Nov-19,11.15,11.15,10.8,10.8,1057500
20-Nov-19,11.49,11.49,10.9,11.02,2381000
19-Nov-19,11.2,11.7,11.2,11.38,106500
18-Nov-19,10.99,11.25,10.75,11.25,8171500
15-Nov-19,11.13,11.47,10.96,11,479500
14-Nov-19,11.24,11.24,11.05,11.12,143500
13-Nov-19,10.61,11,10.61,11,30000
12-Nov-19,10.59,10.7,10.59,10.6,32000
11-Nov-19,10.42,10.6,10.42,10.6,59500
8-Nov-19,10.37,10.6,10.36,10.45,31500
7-Nov-19,10.32,10.5,10.32,10.4,158000
6-Nov-19,10.5,10.7,10.3,10.6,24000
5-Nov-19,10.49,10.49,10.49,10.49,500
4-Nov-19,10.25,10.59,10.25,10.52,29500
1-Nov-19,10.3,10.45,10.26,10.31,12500
