TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,13.56,13.99,13.5,13.99,2500
6-Oct-20,13.31,13.9,13.31,13.9,1500
5-Oct-20,13.18,13.84,13.17,13.75,8000
2-Oct-20,13.01,14,13,13.9,5000
1-Oct-20,13.36,13.8,13.36,13.8,2500
30-Sep-20,13.5,13.99,13.5,13.77,5500
29-Sep-20,13.84,13.84,13.8,13.82,1500
28-Sep-20,13.5,13.5,13.1,13.15,4500
25-Sep-20,13.99,14,13.99,14,1500
24-Sep-20,13,13.9,12.6,13.75,43000
23-Sep-20,13.61,13.61,13.61,13.61,500
22-Sep-20,13.7,13.95,13.7,13.95,12500
21-Sep-20,13.38,14,13.38,13.95,2500
18-Sep-20,13.3,13.99,13.3,13.96,3500
17-Sep-20,14,14,14,14,1000
16-Sep-20,13.1,13.96,13.1,13.83,15000
15-Sep-20,13.2,14,13.2,13.71,16000
14-Sep-20,13.6,13.6,13.15,13.6,5000
11-Sep-20,13.7,13.7,13.7,13.7,2500
10-Sep-20,13.7,13.89,13.7,13.89,4500
9-Sep-20,13.5,13.79,13.43,13.79,5500
8-Sep-20,13.5,13.85,13.31,13.78,15000
7-Sep-20,14,14,13.4,13.88,14500
4-Sep-20,13.51,13.94,13.5,13.94,2500
3-Sep-20,13.75,13.75,13.75,13.75,500
2-Sep-20,13.75,13.8,13.75,13.75,26500
31-Aug-20,13.7,13.7,13.7,13.7,10000
28-Aug-20,13.41,13.97,13.32,13.97,5000
27-Aug-20,13.7,13.7,13.7,13.7,1000
26-Aug-20,13.51,13.61,13.5,13.61,2000
25-Aug-20,13.8,14,13.5,13.96,28000
21-Aug-20,13.8,14,13.8,14,5000
20-Aug-20,14,14,14,14,7000
18-Aug-20,14,14,14,14,5000
17-Aug-20,14,14,14,14,10500
13-Aug-20,13.8,13.8,13.8,13.8,500
11-Aug-20,14,14.3,14,14,2500
10-Aug-20,13.41,14,13.41,14,12000
7-Aug-20,14,14,13.9,13.9,2500
5-Aug-20,13.56,14.3,13.56,14.3,3000
4-Aug-20,14.25,14.5,14,14,10000
3-Aug-20,14.34,14.34,14,14.11,2500
30-Jul-20,13.9,14,13.9,14,2500
29-Jul-20,13.7,13.85,13.7,13.77,9000
28-Jul-20,13.89,13.9,13.8,13.9,7000
27-Jul-20,13.98,13.98,13.6,13.96,1500
24-Jul-20,13.25,13.97,13.25,13.6,27500
23-Jul-20,13.5,13.5,13.5,13.5,2000
22-Jul-20,13.5,13.5,13.21,13.4,2500
21-Jul-20,13.5,13.99,13.5,13.7,17500
20-Jul-20,13.51,13.51,13.31,13.31,2500
17-Jul-20,13.51,14,13.26,13.74,4500
16-Jul-20,13.75,13.8,13.75,13.8,3500
15-Jul-20,13.6,13.6,13.6,13.6,1500
14-Jul-20,13.75,13.9,13.7,13.74,26000
13-Jul-20,13.42,13.8,13.4,13.75,52500
10-Jul-20,13.99,13.99,13.99,13.99,500
9-Jul-20,13.9,14,13.9,14,20000
8-Jul-20,13.9,13.9,13.9,13.9,10000
7-Jul-20,13.42,14,13.42,14,4500
6-Jul-20,13.2,13.9,13,13.9,9000
3-Jul-20,14.05,14.05,14.05,14.05,500
30-Jun-20,13.9,14.19,13.9,14.19,2500
29-Jun-20,13.9,14.1,13.9,14.1,3500
26-Jun-20,13.51,13.51,13.5,13.5,1500
25-Jun-20,13.52,14,13.27,13.9,18500
24-Jun-20,13.25,13.9,13.21,13.9,4500
23-Jun-20,13.9,13.9,13.8,13.8,3500
22-Jun-20,13.75,14,13.75,13.94,4000
19-Jun-20,13.9,13.9,13.9,13.9,1500
18-Jun-20,13.9,13.9,13.9,13.9,500
17-Jun-20,13.9,13.9,13.9,13.9,3000
16-Jun-20,13.5,13.9,13.5,13.8,17500
15-Jun-20,13.9,13.9,13.9,13.9,7500
12-Jun-20,13.9,13.9,13.9,13.9,6000
11-Jun-20,13.42,13.42,13.42,13.42,500
10-Jun-20,13.12,13.9,13.12,13.9,17000
8-Jun-20,13,13.9,13,13.9,3500
5-Jun-20,13.06,13.06,13.06,13.06,500
4-Jun-20,13.32,13.32,13.31,13.31,1500
3-Jun-20,13.9,13.9,13.9,13.9,5500
2-Jun-20,13.9,13.9,13.9,13.9,1000
1-Jun-20,13.9,13.9,13.9,13.9,3000
29-May-20,13.9,13.9,13.9,13.9,1500
28-May-20,13.5,13.9,13.5,13.9,4000
21-May-20,13.9,13.9,13.9,13.9,1500
20-May-20,13.7,13.8,13.7,13.77,14500
19-May-20,13.99,13.99,13.95,13.95,1000
18-May-20,13.5,13.89,13.5,13.89,5500
13-May-20,13.9,13.9,13.9,13.9,10000
12-May-20,13.29,13.29,13.29,13.29,500
8-May-20,14.3,14.3,14.3,14.3,500
7-May-20,13.9,13.9,13.9,13.9,2500
6-May-20,13.9,14,13.9,13.91,15500
5-May-20,13.51,13.9,13.51,13.9,3000
4-May-20,13.26,13.9,13.26,13.9,3500
30-Apr-20,13.9,14,13.9,14,4500
29-Apr-20,13.9,13.9,13.9,13.9,500
28-Apr-20,13.9,13.9,13.9,13.9,500
27-Apr-20,13.9,13.95,13.9,13.95,2500
23-Apr-20,13.8,14.1,13.2,13.95,3000
22-Apr-20,13.8,14,13.5,14,3500
21-Apr-20,13.9,13.9,13.8,13.86,3500
20-Apr-20,13.49,13.5,13.48,13.48,1500
17-Apr-20,13.5,13.9,13.5,13.9,2000
16-Apr-20,13.4,13.85,13.3,13.63,11500
15-Apr-20,13.2,13.9,13.2,13.9,6000
14-Apr-20,13.34,13.8,13.34,13.8,1000
13-Apr-20,13.9,13.9,13.8,13.87,5500
10-Apr-20,13.9,13.99,13.9,13.95,1000
9-Apr-20,13.8,13.9,13.8,13.85,2000
8-Apr-20,13.95,13.95,13.95,13.95,1000
7-Apr-20,13.85,13.85,13.6,13.75,3500
6-Apr-20,12.71,13.8,12.7,13.78,31000
3-Apr-20,13.7,13.7,13.7,13.7,1000
2-Apr-20,13.16,13.9,13.16,13.5,4500
1-Apr-20,13.8,13.8,13.8,13.8,1000
31-Mar-20,13,13.8,13,13.73,17000
30-Mar-20,13.5,13.55,13.49,13.51,18500
27-Mar-20,13.5,13.5,13.5,13.5,14000
26-Mar-20,13.8,13.8,13,13.39,28500
25-Mar-20,12.81,13.49,12.81,13.49,29000
24-Mar-20,14.2,14.2,13.5,13.73,3000
20-Mar-20,13.95,13.95,13.9,13.9,1500
19-Mar-20,12.71,13.5,12.71,13.35,63500
18-Mar-20,13,13.5,12.65,13.38,77500
17-Mar-20,12.81,13.4,12.81,13.39,29500
16-Mar-20,13.4,13.4,12.45,13.39,17500
13-Mar-20,13.4,13.4,13.4,13.4,12000
12-Mar-20,13.25,13.4,13.25,13.39,10000
11-Mar-20,13.12,13.4,13.1,13.37,43500
10-Mar-20,13,13.41,13,13.38,18000
9-Mar-20,13,13.47,13,13.42,27000
6-Mar-20,13.2,13.38,13.03,13.32,7000
5-Mar-20,12.85,13.5,12.85,13.41,13500
4-Mar-20,12.85,13.4,12.85,13.39,16000
3-Mar-20,13.37,13.39,13.37,13.39,2500
2-Mar-20,13.46,13.46,13,13.26,10000
28-Feb-20,13.39,13.5,13.39,13.46,35500
27-Feb-20,13.39,13.4,13.01,13.24,5500
26-Feb-20,13.2,13.47,13.2,13.44,21000
25-Feb-20,13.25,13.49,12.85,13.48,19000
24-Feb-20,13.3,13.5,13.2,13.43,38000
21-Feb-20,12.8,13.49,12.7,13.44,51500
20-Feb-20,13.05,13.5,13.05,13.48,60000
19-Feb-20,13,13.38,13,13.33,36000
18-Feb-20,13.19,13.4,12.9,13.12,28500
17-Feb-20,13,13.5,13,13.4,126000
14-Feb-20,13.15,13.5,13,13.43,70500
13-Feb-20,13.48,13.5,13.48,13.5,6500
12-Feb-20,13.18,13.5,13.08,13.5,15000
11-Feb-20,13.19,13.5,13,13.49,21500
10-Feb-20,13.09,13.5,13.09,13.45,33000
7-Feb-20,13.25,13.5,13,13.48,70500
6-Feb-20,13.23,13.6,13.23,13.5,5500
4-Feb-20,13.06,13.99,13.06,13.7,45500
3-Feb-20,14.23,14.23,13.05,13.5,94500
31-Jan-20,13.79,13.88,13.79,13.85,5500
30-Jan-20,13.14,13.6,13.14,13.5,57500
29-Jan-20,13.22,13.75,13.16,13.41,50000
28-Jan-20,13.18,13.68,13.18,13.5,58000
27-Jan-20,13.41,13.97,13.23,13.42,21000
24-Jan-20,13.65,13.65,13.25,13.65,11000
23-Jan-20,13.7,13.7,13.3,13.65,16000
22-Jan-20,13.55,13.7,13.46,13.67,13500
21-Jan-20,13.43,13.9,13.43,13.9,1500
20-Jan-20,14,14,13.9,13.9,2500
17-Jan-20,13.02,14.1,13.02,13.89,25000
16-Jan-20,13.99,14,13.9,13.9,6500
15-Jan-20,14,14,13.5,13.95,34000
14-Jan-20,13.65,13.98,13.65,13.98,3500
13-Jan-20,13.11,13.93,13.1,13.93,11000
10-Jan-20,13.25,14,13.25,13.9,15500
9-Jan-20,13.8,13.9,13.8,13.85,11500
8-Jan-20,13.2,13.99,13.2,13.99,2500
7-Jan-20,13.5,13.85,13.5,13.8,4500
6-Jan-20,13.5,13.7,13.5,13.7,5000
3-Jan-20,13.01,14,13.01,13.82,3500
2-Jan-20,14,14,14,14,500
31-Dec-19,12.44,13.92,12.44,13.56,5500
30-Dec-19,12.52,13.46,12.52,13.35,4500
27-Dec-19,13.25,13.25,13.2,13.25,10500
26-Dec-19,12.51,13,12.25,13,13500
24-Dec-19,13,13,13,13,5000
23-Dec-19,12.9,12.99,12.9,12.98,5500
20-Dec-19,12.55,12.99,12.55,12.96,8500
19-Dec-19,12.8,12.9,12.8,12.89,5500
18-Dec-19,12.55,12.9,12.55,12.9,6000
17-Dec-19,12.89,12.9,12.5,12.9,15000
16-Dec-19,12.61,12.9,12.61,12.9,4500
13-Dec-19,12.51,12.99,12.5,12.96,35000
12-Dec-19,12.24,12.95,12.24,12.95,6000
11-Dec-19,12.28,13,12.16,12.97,116000
10-Dec-19,12.21,12.99,12.2,12.88,27000
9-Dec-19,12.5,13.05,12.4,12.95,26500
6-Dec-19,12.9,12.95,12.9,12.95,11000
5-Dec-19,12.13,12.88,12.13,12.8,7500
4-Dec-19,12.89,12.9,12.89,12.9,2500
3-Dec-19,13,13,13,13,500
2-Dec-19,12.21,12.85,12.1,12.85,17500
29-Nov-19,12.6,12.6,12.6,12.6,2000
28-Nov-19,12.19,12.84,12,12.48,22500
27-Nov-19,12.45,12.45,12.45,12.45,500
26-Nov-19,11.81,12.5,11.62,12.47,18000
25-Nov-19,12.55,12.55,12.55,12.55,2000
22-Nov-19,11.53,12.4,11.53,12.39,6500
20-Nov-19,11.91,12.5,11.91,12.4,10000
19-Nov-19,11.73,12.25,11.73,12.25,1500
18-Nov-19,11.62,12.29,11.38,12.25,24000
15-Nov-19,12.2,12.2,12.2,12.2,1000
14-Nov-19,12.25,12.25,12,12.06,2000
13-Nov-19,12.15,12.15,12.15,12.15,500
12-Nov-19,11.41,12,11.41,12,3500
11-Nov-19,11.99,12,11.99,12,2000
8-Nov-19,12,12,12,12,4500
7-Nov-19,11.7,11.88,11.32,11.75,5000
6-Nov-19,11.32,11.8,11.31,11.78,6000
5-Nov-19,11.2,11.84,11,11.39,67500
4-Nov-19,11.02,11.84,10.99,11.3,230000
1-Nov-19,11.49,11.82,11.2,11.41,22500
31-Oct-19,10.9,11.85,10.9,11.82,4500
30-Oct-19,11.49,11.49,11.49,11.49,3000
29-Oct-19,11.2,11.5,10.67,11.43,27000
28-Oct-19,10.63,10.7,10.63,10.68,2500
25-Oct-19,10.8,11.45,10.69,11.43,8500
24-Oct-19,11.4,11.4,11,11.33,3000
23-Oct-19,10.8,11.45,10.8,11.41,16500
22-Oct-19,11.39,11.4,11.39,11.4,2000
21-Oct-19,10.6,11.4,10.6,11.4,3000
18-Oct-19,11.4,11.4,11.4,11.4,4000
17-Oct-19,11.5,11.5,11.4,11.43,1500
16-Oct-19,10.55,11.5,10.55,11.42,4000
15-Oct-19,11.35,11.45,11.35,11.4,8500
14-Oct-19,11.4,11.4,11.4,11.4,2000
11-Oct-19,11.25,11.25,11.25,11.25,4000
10-Oct-19,11.25,11.25,11.25,11.25,2000
9-Oct-19,11.25,11.25,11.25,11.25,1500
8-Oct-19,10.51,11.25,10.5,11.22,36000
7-Oct-19,10.33,11.25,10.33,11.21,20000
4-Oct-19,10.99,11.2,10.99,11.2,5000
3-Oct-19,11.15,11.15,11.15,11.15,5000
2-Oct-19,11,11.19,11,11.12,7000
1-Oct-19,10.21,11.15,10.16,11.07,18000
30-Sep-19,11.08,11.2,11.08,11.13,24000
27-Sep-19,11.25,11.25,11.09,11.1,3500
26-Sep-19,10.99,11,10.99,11,3000
25-Sep-19,11,11,11,11,1000
24-Sep-19,11,11,11,11,2000
23-Sep-19,11,11,11,11,2500
20-Sep-19,10.99,11,10.99,11,4500
19-Sep-19,10.99,11.05,10.99,11,37000
18-Sep-19,11,11.05,11,11.03,4000
17-Sep-19,11.14,11.14,10.75,10.96,8000
16-Sep-19,10.11,11.05,10.11,11.02,6500
13-Sep-19,10.97,11,10.84,10.91,13000
12-Sep-19,10.95,10.95,10.91,10.93,12500
11-Sep-19,10.9,10.9,10.9,10.9,500
6-Sep-19,10.99,10.99,10.99,10.99,500
5-Sep-19,11,11,10.75,10.99,2000
4-Sep-19,10.74,10.75,10.64,10.75,10000
3-Sep-19,10.01,10.7,10,10.66,23000
2-Sep-19,10.8,10.8,10,10.68,3500
30-Aug-19,10.29,10.54,10.29,10.53,53000
29-Aug-19,9.8,10.59,9.8,10.46,13500
28-Aug-19,10.3,10.4,9.75,10.29,33000
27-Aug-19,9.76,10.4,9.76,10.34,65000
26-Aug-19,10,10.33,10,10.32,7500
23-Aug-19,10.38,10.38,10.35,10.35,7000
22-Aug-19,10.39,10.48,10.25,10.46,23500
21-Aug-19,9.43,10.43,9.39,10.32,36000
20-Aug-19,10.38,10.39,10.3,10.39,5500
19-Aug-19,9.74,10.2,9.74,10.15,60000
16-Aug-19,9.89,9.89,9.6,9.89,7500
9-Aug-19,9.49,9.8,9.39,9.74,126000
8-Aug-19,8.98,9.15,8.75,9.13,33500
7-Aug-19,8.37,8.4,8.37,8.39,12000
6-Aug-19,7.4,7.75,7.3,7.7,10500
5-Aug-19,6.98,6.98,5.98,6.86,58000
2-Aug-19,7.53,7.53,6.98,6.98,135500
1-Aug-19,7.94,8,7.94,7.98,22000
31-Jul-19,7.9,8,7.9,8,15000
30-Jul-19,7.9,8,7.9,8,15000
29-Jul-19,7.15,8,7.01,7.92,35000
26-Jul-19,8,8,8,8,3000
25-Jul-19,7.9,8,7.9,8,3000
24-Jul-19,7.8,8,7.7,7.94,9000
23-Jul-19,8,8,8,8,1500
22-Jul-19,8,8,8,8,2000
19-Jul-19,7.25,8.2,7.25,8.09,72500
18-Jul-19,9,9,8,8.19,119000
17-Jul-19,9,9,9,9,1500
16-Jul-19,9.1,9.1,9.1,9.1,1000
15-Jul-19,8.23,9,8.22,8.98,5500
12-Jul-19,9,9.09,8.52,8.99,12000
11-Jul-19,9.14,9.14,9.14,9.14,500
10-Jul-19,9.09,9.2,9.09,9.11,7000
9-Jul-19,8.6,9.19,8.5,9.19,4000
8-Jul-19,9.2,9.2,9.15,9.18,1000
5-Jul-19,8.25,9.49,8.25,9.25,1500
4-Jul-19,8.66,8.66,8.65,8.66,1000
3-Jul-19,8.65,9.5,8.65,9.13,8500
2-Jul-19,8.6,9.3,8.5,9.3,13500
1-Jul-19,10,10.5,9.1,9.18,32500
28-Jun-19,9.35,10.9,9.28,9.86,118500
27-Jun-19,10.58,10.58,10.28,10.28,5500
26-Jun-19,10,11.5,10,11.28,17500
25-Jun-19,10.6,10.6,10.16,10.5,2500
21-Jun-19,11,11.15,11,11.15,2000
20-Jun-19,10.51,11.12,10.51,11.12,4500
19-Jun-19,10.9,11.19,10.9,11.09,3000
17-Jun-19,10.99,11.18,10.99,11.11,7000
13-Jun-19,11,11.19,11,11.19,7500
12-Jun-19,11,11.19,11,11.17,4000
11-Jun-19,11.19,11.19,11.19,11.19,500
10-Jun-19,11.12,11.19,11.12,11.17,6000
3-Jun-19,11.14,11.14,11.14,11.14,2000
30-May-19,11.2,11.2,11.2,11.2,6000
29-May-19,11.2,11.2,10.5,11.12,12000
27-May-19,10.27,11.2,10.27,11.2,17000
22-May-19,11.2,11.2,11.2,11.2,500
21-May-19,11.2,11.2,11.2,11.2,17000
20-May-19,11.35,11.35,11.2,11.2,4500
17-May-19,10.5,11.2,10.5,10.99,11000
16-May-19,11.2,11.2,11.2,11.2,2500
14-May-19,11.2,11.2,11.2,11.2,2000
13-May-19,11.15,11.15,11.15,11.15,4000
10-May-19,11.1,11.1,11.1,11.1,1000
9-May-19,10.51,11.3,10.5,11.3,3500
8-May-19,11.1,11.77,11,11.1,8500
7-May-19,11,11.1,11,11.01,11000
6-May-19,10.95,10.95,10.95,10.95,500
3-May-19,10.73,11,10.73,10.9,12000
2-May-19,10.64,10.84,10.61,10.84,10500
30-Apr-19,11.2,11.2,10.51,10.92,24000
29-Apr-19,10.96,10.98,10.96,10.97,10000
26-Apr-19,10.76,10.76,10.76,10.76,1000
25-Apr-19,10.94,10.99,10.94,10.97,5500
24-Apr-19,10.65,10.95,10.65,10.94,10500
23-Apr-19,10.92,10.99,10.92,10.97,4000
22-Apr-19,10.52,10.95,10.52,10.93,6000
19-Apr-19,10.89,10.93,10.89,10.91,3000
18-Apr-19,10.9,10.95,10.31,10.9,30000
17-Apr-19,10.32,10.95,10.3,10.95,6000
15-Apr-19,10.17,11.4,10.17,11.04,20500
12-Apr-19,10.45,11.1,10.45,10.99,37000
11-Apr-19,10.4,10.4,10.4,10.4,1000
10-Apr-19,10.74,10.74,10.01,10.5,2000
9-Apr-19,10.3,10.5,10.3,10.5,5000
8-Apr-19,10.84,10.9,9.82,10.5,8000
5-Apr-19,10.11,10.11,10.11,10.11,500
4-Apr-19,10.51,10.51,10.16,10.17,15000
27-Mar-19,11.15,11.2,11.1,11.15,30000
26-Mar-19,11.1,11.2,11.1,11.1,4500
25-Mar-19,11.11,11.59,11.1,11.1,2500
21-Mar-19,11.13,11.4,11.11,11.34,24500
20-Mar-19,11.6,11.6,11.22,11.5,2500
19-Mar-19,11.32,11.7,11.32,11.57,4000
18-Mar-19,12.09,12.09,12.09,12.09,500
15-Mar-19,11.34,11.4,11.01,11.4,3500
14-Mar-19,11.56,11.61,11.55,11.61,1500
13-Mar-19,11.71,12.09,11.71,12.09,5500
12-Mar-19,12.05,12.05,12.05,12.05,500
11-Mar-19,12.09,12.1,12.01,12.01,17000
8-Mar-19,12.01,12.5,11.34,12.39,19000
7-Mar-19,12.07,12.48,12.06,12.33,6000
6-Mar-19,11.67,12.35,11.66,12.35,5000
5-Mar-19,12.1,12.5,12.09,12.35,17000
4-Mar-19,12,12.2,11.51,12.2,11000
1-Mar-19,12.1,12.49,11.8,12.05,13500
28-Feb-19,12.8,12.8,12.8,12.8,500
27-Feb-19,12,12.4,12,12.3,4000
26-Feb-19,12.05,12.87,12.01,12.39,5000
25-Feb-19,12.25,12.55,12.15,12.33,19000
22-Feb-19,12.15,12.7,12.15,12.65,1500
21-Feb-19,12.3,12.65,12.2,12.41,8000
20-Feb-19,13.15,13.15,13.15,13.15,500
19-Feb-19,12.75,12.75,12.75,12.75,500
18-Feb-19,12.5,12.8,12.21,12.8,1500
15-Feb-19,12.45,12.45,12.45,12.45,500
14-Feb-19,12.5,12.5,12.3,12.41,2500
13-Feb-19,12.6,12.64,12.31,12.57,4500
12-Feb-19,12.6,12.6,12.55,12.57,1500
11-Feb-19,12.55,12.55,12.54,12.54,1000
8-Feb-19,12.6,12.6,12.2,12.51,12000
7-Feb-19,12.55,12.6,12.22,12.55,9500
6-Feb-19,12.5,12.5,12.5,12.5,500
4-Feb-19,12.3,12.69,12.25,12.54,30000
1-Feb-19,12.26,12.55,12.26,12.5,6500
31-Jan-19,12.29,12.29,12.28,12.29,1500
30-Jan-19,12.2,12.75,12.2,12.65,8500
29-Jan-19,12.25,12.79,12.01,12.57,32500
28-Jan-19,12.4,12.89,12.32,12.54,8500
24-Jan-19,12.51,12.55,12.51,12.55,10500
22-Jan-19,12.4,12.86,12.4,12.59,14500
18-Jan-19,12.31,12.8,12.3,12.52,16000
17-Jan-19,12.3,12.95,12.25,12.72,3500
15-Jan-19,12.6,12.6,12.51,12.51,17500
14-Jan-19,12.61,12.61,12.61,12.61,12500
11-Jan-19,12.51,12.74,12.51,12.69,18500
10-Jan-19,12.51,12.51,12.51,12.51,2500
9-Jan-19,12.61,12.85,12.61,12.63,5000
8-Jan-19,12.51,12.85,12.51,12.85,2000
4-Jan-19,12.51,12.51,12.51,12.51,4500
2-Jan-19,12.51,12.9,12.51,12.9,7000
31-Dec-18,12.25,12.95,12.25,12.95,24500
26-Dec-18,12.94,12.94,12.94,12.94,500
21-Dec-18,12.25,12.9,12.25,12.83,20500
20-Dec-18,12.24,12.7,12.06,12.42,25500
19-Dec-18,12.25,12.25,12.25,12.25,500
14-Dec-18,12.94,12.94,12.94,12.94,500
