TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,17.34,17.48,17.2,17.31,301000
8-Oct-20,17.15,17.45,16.85,17.26,12876000
7-Oct-20,17.24,17.3,16.6,17.08,395000
6-Oct-20,16.86,16.98,16,16.71,2377000
5-Oct-20,17.3,17.3,16.17,16.37,1511000
2-Oct-20,17.21,17.49,17.21,17.39,337000
1-Oct-20,17.15,17.54,17.15,17.36,1027000
30-Sep-20,17.75,17.75,17.05,17.13,1208500
29-Sep-20,17.65,17.8,17.55,17.8,116500
28-Sep-20,17.88,18.04,17.53,17.6,1544500
25-Sep-20,17.79,17.9,17.7,17.78,208000
24-Sep-20,17.8,17.85,17.61,17.77,2828000
23-Sep-20,17.51,17.85,17.5,17.7,1358500
22-Sep-20,17.5,17.6,17.31,17.51,319000
21-Sep-20,17.65,17.78,17.55,17.57,64500
18-Sep-20,17.58,17.82,17.55,17.75,41500
17-Sep-20,17.69,17.95,17.6,17.85,5201500
16-Sep-20,18.09,18.19,17.25,17.78,11099500
15-Sep-20,18.07,18.5,17.8,17.93,865500
14-Sep-20,18.49,18.5,18,18.12,123000
11-Sep-20,18.85,18.85,18.3,18.34,150000
10-Sep-20,17.78,18.9,17.78,18.51,3920500
9-Sep-20,17.52,18.19,17.51,17.81,699000
8-Sep-20,18.35,18.35,17.66,17.69,369500
7-Sep-20,17.93,18.35,17.5,18.01,5832500
4-Sep-20,18.39,18.39,17.91,17.94,280500
3-Sep-20,18.38,18.48,18.05,18.14,7209000
2-Sep-20,17.99,18.95,17.79,17.98,5073000
1-Sep-20,17.7,18.24,17.5,17.72,11901500
31-Aug-20,17.6,17.94,17.3,17.38,383500
28-Aug-20,17.98,18.49,17.25,17.34,833500
27-Aug-20,17.48,18.64,17.48,17.66,1633000
26-Aug-20,17.56,17.6,17.15,17.34,455000
25-Aug-20,17.74,17.74,17.25,17.36,1013000
24-Aug-20,17.59,18,17.3,17.37,545000
21-Aug-20,16.9,17.72,16.85,17.51,1445500
20-Aug-20,18.89,18.89,17.12,17.15,19261000
19-Aug-20,18.98,19.5,18.2,18.5,7137000
18-Aug-20,18.7,19.3,18.3,18.41,1237500
17-Aug-20,17.4,18.27,17.2,18.27,7075000
13-Aug-20,17.06,17.23,16.9,17,1956000
12-Aug-20,16.97,17.55,16.96,17.17,3639000
11-Aug-20,17.09,17.32,16.8,16.95,534000
10-Aug-20,17.12,17.44,17.06,17.13,95000
7-Aug-20,17.31,17.8,17.2,17.27,572000
6-Aug-20,17.39,17.8,17.3,17.48,350000
5-Aug-20,17.79,17.8,17.25,17.51,515500
4-Aug-20,17.12,18,17.12,17.54,2884500
3-Aug-20,17.2,17.5,17.03,17.35,748000
30-Jul-20,17.35,17.55,16.95,17.2,561000
29-Jul-20,17.34,17.75,17,17.08,3220500
28-Jul-20,16.2,17.38,16.2,17.04,2549500
27-Jul-20,15.79,16.4,15.61,16.17,774500
24-Jul-20,15.11,15.8,15.1,15.58,152500
23-Jul-20,15.79,15.79,15.4,15.4,149500
22-Jul-20,15.49,15.64,15.12,15.51,756000
21-Jul-20,15.25,15.5,15.04,15.34,751000
20-Jul-20,15.06,15.4,15.01,15.22,346500
