TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,132.85,136.85,131.3,136,849739
8-Oct-20,130.9,132.9,129.1,132.17,375319
7-Oct-20,131.74,132,128.5,130.45,523146
6-Oct-20,130,130.9,126.6,129.01,387174
5-Oct-20,131.88,131.88,128,129.61,514826
2-Oct-20,133,134.5,130.5,131.04,479944
1-Oct-20,130,134.34,130,132.57,682516
30-Sep-20,131.9,132.1,129.02,130.74,818892
29-Sep-20,127.84,131.72,125.25,130.25,445919
28-Sep-20,133.44,134,127.32,129.05,807471
25-Sep-20,132,134.4,130.71,133.81,546930
24-Sep-20,132.99,132.99,130.6,131.98,641821
23-Sep-20,130.5,133.31,130.5,131.67,287716
22-Sep-20,131.99,132.4,130.8,131.32,508364
21-Sep-20,134.49,134.49,132.51,132.97,231696
18-Sep-20,134,135,132.5,134.22,1110632
17-Sep-20,134.89,134.9,133.1,133.76,608454
16-Sep-20,135.13,135.85,133.15,133.78,547283
15-Sep-20,136,137.5,135.1,135.49,390990
14-Sep-20,136,137.02,135.26,136.7,436151
11-Sep-20,135.51,138.5,134.5,135.7,3078582
10-Sep-20,133.9,137.15,133.5,135,1344579
9-Sep-20,130.75,134.6,129.52,133.05,1045912
8-Sep-20,132.49,133.49,130.2,130.83,1330444
7-Sep-20,133.05,134.4,131.75,132.51,1684821
4-Sep-20,133.78,134.44,132.11,133.32,702762
3-Sep-20,134.31,136.88,133.03,133.72,1041058
2-Sep-20,133.6,136,132.51,133.41,939520
1-Sep-20,135,135,131,132.69,1785320
31-Aug-20,135.55,137.5,133.25,134.46,1906037
28-Aug-20,136,136.7,134.5,135.22,184341
27-Aug-20,135.49,138.2,134.6,135.69,1657292
26-Aug-20,128.45,135.6,127.25,134.65,2815112
25-Aug-20,126.25,127.99,124.55,127.17,1204601
24-Aug-20,124,126.15,123.5,125.1,438253
21-Aug-20,123.89,125.2,122.12,124.27,445630
20-Aug-20,122.5,124.1,121.9,123.52,882970
19-Aug-20,122.99,123.9,122,122.36,371392
18-Aug-20,124.99,125.48,122,122.49,1086619
17-Aug-20,128,128,123.01,124.02,925821
13-Aug-20,129.75,129.75,127.5,127.78,336029
12-Aug-20,130.11,130.98,128.5,129.2,847548
11-Aug-20,126,130.5,126,129,1530654
10-Aug-20,128.99,129,125.02,127.21,585662
7-Aug-20,129.98,129.98,126.5,127.32,1576523
6-Aug-20,130.95,132,127.52,129.34,1725971
5-Aug-20,128.7,130.99,128.1,128.7,1199645
4-Aug-20,127.9,133.5,127.05,128.02,3657284
3-Aug-20,122.53,129.48,121,127.53,2711884
30-Jul-20,121.95,123,120.61,122.53,715589
29-Jul-20,124.68,124.7,120.26,121.19,1447005
