TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,6.55,6.81,6.55,6.68,162000
8-Oct-20,6.7,6.82,6.55,6.64,144500
7-Oct-20,6.75,6.95,6.7,6.76,1618000
6-Oct-20,6.5,6.8,6.3,6.79,1977000
5-Oct-20,6.51,6.7,6.3,6.48,1633500
2-Oct-20,6.85,6.85,6.6,6.74,217000
1-Oct-20,6.98,6.98,6.5,6.84,1720000
30-Sep-20,7.15,7.15,6.8,6.85,4078000
29-Sep-20,6.8,7.24,6.7,7.12,3609000
28-Sep-20,6.65,7.15,6.65,6.8,4857000
25-Sep-20,6.98,7,6.66,6.79,838000
24-Sep-20,6.95,7.09,6.75,7.01,1606000
23-Sep-20,7.02,7.04,6.82,6.97,877000
22-Sep-20,6.82,7.11,6.75,7.02,2516000
21-Sep-20,7.1,7.18,6.8,6.85,5151000
18-Sep-20,7.11,7.25,7,7.14,3975500
17-Sep-20,7.35,7.69,7.1,7.14,5256500
16-Sep-20,6.97,7.45,6.92,7.3,8645000
15-Sep-20,7.13,7.2,7,7.1,5278000
14-Sep-20,7.39,7.51,6.94,7.01,12405000
11-Sep-20,7.25,7.4,7.03,7.24,6253000
10-Sep-20,7.2,7.55,7.15,7.27,11712500
9-Sep-20,7,7.29,6.7,7.11,13931000
8-Sep-20,7.2,7.68,6.8,6.91,16475000
7-Sep-20,6.47,7.32,6.47,7.24,35204500
4-Sep-20,6.55,6.99,6.2,6.37,23760000
3-Sep-20,6.2,6.95,6.1,6.52,14858000
2-Sep-20,5.82,6.13,5.78,6.07,6357500
1-Sep-20,5.99,5.99,5.8,5.83,2266500
31-Aug-20,6.1,6.1,5.9,5.9,2507000
28-Aug-20,6,6.19,5.9,6.01,3988000
27-Aug-20,5.75,6.05,5.65,5.92,14414500
26-Aug-20,5.6,5.95,5.6,5.64,3957000
25-Aug-20,5.7,5.8,5.54,5.65,12775500
24-Aug-20,5.51,5.74,5.51,5.68,1186500
21-Aug-20,5.7,5.7,5.52,5.52,14500
20-Aug-20,5.65,5.69,5.52,5.53,265500
19-Aug-20,5.64,5.7,5.57,5.61,190000
18-Aug-20,5.61,5.75,5.55,5.64,333500
17-Aug-20,5.63,5.8,5.6,5.62,648000
13-Aug-20,5.7,5.7,5.62,5.7,693000
12-Aug-20,5.95,5.95,5.65,5.73,825500
11-Aug-20,5.7,6,5.7,5.85,1584000
10-Aug-20,6.02,6.05,5.65,5.72,3187000
7-Aug-20,5.81,6.03,5.81,5.95,2456500
6-Aug-20,5.9,5.92,5.6,5.9,1284500
5-Aug-20,5.82,5.86,5.76,5.81,249500
4-Aug-20,5.85,5.96,5.81,5.82,457500
3-Aug-20,5.8,5.99,5.8,5.84,966000
30-Jul-20,5.96,6,5.74,5.8,794500
29-Jul-20,6,6.05,5.8,5.8,2251000
28-Jul-20,6,6.08,5.8,5.93,3464500
27-Jul-20,5.75,6.29,5.61,5.88,2682000
24-Jul-20,5.61,5.89,5.6,5.74,128500
23-Jul-20,5.7,5.85,5.61,5.64,362000
22-Jul-20,5.77,5.83,5.7,5.75,2906000
21-Jul-20,5.86,6,5.72,5.75,908000
20-Jul-20,6.05,6.35,5.9,5.93,2128000
17-Jul-20,6.2,6.49,5.9,5.98,4026000
16-Jul-20,5.53,6.46,5.5,6.18,31676000
15-Jul-20,5.94,6.68,5.4,5.48,12675000
14-Jul-20,5.75,6.22,5.66,5.71,2876500
13-Jul-20,5.78,5.78,5.64,5.7,36000
10-Jul-20,5.79,5.8,5.6,5.61,251000
9-Jul-20,6.2,6,5.73,5.78,2508000
8-Jul-20,6.1,6.39,5.85,6.28,635000
7-Jul-20,5.52,6.25,5.46,6.02,1420500
6-Jul-20,5.25,5.89,5.16,5.7,1177500
3-Jul-20,6.1,6.1,5.36,5.4,2646000
2-Jul-20,5.15,6.23,5.15,6.13,3613000
1-Jul-20,5.35,5.35,5,5.23,8784000
30-Jun-20,5.06,5.5,4.9,5.35,2137000
29-Jun-20,5,5.44,5,5.34,155000
26-Jun-20,5.1,5.21,5.1,5.21,31000
25-Jun-20,5.01,5.25,5,5.22,41000
24-Jun-20,5.25,5.25,5.1,5.24,18500
23-Jun-20,5.39,5.39,5.18,5.24,128500
22-Jun-20,5.17,5.45,4.95,5.3,784500
19-Jun-20,5.23,5.3,4.9,5,503000
18-Jun-20,5.45,5.79,5,5,882000
17-Jun-20,5.39,5.6,5.01,5.36,1165000
16-Jun-20,4.92,5.39,4.86,5.14,346000
15-Jun-20,4.99,4.99,4.8,4.92,626000
12-Jun-20,4.8,4.85,4.8,4.85,1500
11-Jun-20,4.99,5,4.85,4.93,160500
10-Jun-20,4.85,4.99,4.8,4.99,67000
9-Jun-20,4.71,4.9,4.71,4.78,61500
8-Jun-20,4.76,4.86,4.7,4.76,541500
5-Jun-20,4.85,4.98,4.85,4.86,12000
4-Jun-20,4.85,4.85,4.74,4.76,11000
