DATE,PREDICTED_CLOSE
2020-10-12,86.65
2020-10-13,85.90
2020-10-14,83.39
2020-10-15,84.22
2020-10-16,87.01
2020-10-19,86.68
2020-10-20,87.18
2020-10-21,84.53
2020-10-22,84.41
2020-10-23,84.90
2020-10-26,85.43
2020-10-27,84.42
2020-10-28,84.88
2020-10-29,84.86
2020-10-30,85.10
2020-11-02,85.01
2020-11-03,83.63
2020-11-04,85.60
2020-11-05,86.80
2020-11-06,86.42
2020-11-09,86.98
2020-11-10,87.18
2020-11-11,84.97
2020-11-12,85.75
2020-11-13,85.40
2020-11-16,86.03
2020-11-17,86.00
2020-11-18,85.86
2020-11-19,85.00
2020-11-20,86.72
2020-11-23,86.57
2020-11-24,88.23
2020-11-25,86.51
2020-11-26,88.54
2020-11-27,90.66
2020-11-30,88.69
2020-12-01,89.66
2020-12-02,84.91
2020-12-03,85.42
2020-12-04,85.16
2020-12-07,84.31
2020-12-08,85.49
2020-12-09,84.46
2020-12-10,85.14
2020-12-11,84.96
2020-12-14,84.88
2020-12-15,86.04
2020-12-16,85.49
2020-12-17,84.37
2020-12-18,83.98



