DATE,PREDICTED_CLOSE
2020-10-12,17.77
2020-10-13,17.62
2020-10-14,18.33
2020-10-15,18.26
2020-10-16,17.85
2020-10-19,18.38
2020-10-20,18.54
2020-10-21,18.58
2020-10-22,18.75
2020-10-23,18.67
2020-10-26,19.06
2020-10-27,18.91
2020-10-28,19.02
2020-10-29,19.13
2020-10-30,19.12
2020-11-02,19.29
2020-11-03,19.25
2020-11-04,19.12
2020-11-05,19.11
2020-11-06,19.16
2020-11-09,19.55
2020-11-10,19.61
2020-11-11,19.43
2020-11-12,19.53
2020-11-13,19.65
2020-11-16,19.85
2020-11-17,19.89
2020-11-18,19.75
2020-11-19,19.65
2020-11-20,19.73
2020-11-23,19.78
2020-11-24,19.64
2020-11-25,19.60
2020-11-26,19.68
2020-11-27,19.15
2020-11-30,19.16
2020-12-01,19.68
2020-12-02,19.73
2020-12-03,20.53
2020-12-04,20.71
2020-12-07,19.30
2020-12-08,18.48
2020-12-09,17.87
2020-12-10,17.88
2020-12-11,17.87
2020-12-14,17.93
2020-12-15,18.29
2020-12-16,18.29
2020-12-17,17.52
2020-12-18,16.46

