DATE,PREDICTED_CLOSE
2020-10-12,35.09
2020-10-13,34.89
2020-10-14,35.11
2020-10-15,35.12
2020-10-16,34.01
2020-10-19,34.84
2020-10-20,34.93
2020-10-21,35.04
2020-10-22,35.19
2020-10-23,34.26
2020-10-26,34.75
2020-10-27,34.66
2020-10-28,35.29
2020-10-29,35.26
2020-10-30,35.89
2020-11-02,35.55
2020-11-03,35.71
2020-11-04,35.90
2020-11-05,36.15
2020-11-06,36.09
2020-11-09,36.61
2020-11-10,37.22
2020-11-11,34.95
2020-11-12,35.01
2020-11-13,35.75
2020-11-16,35.67
2020-11-17,36.05
2020-11-18,35.87
2020-11-19,35.32
2020-11-20,34.99
2020-11-23,34.82
2020-11-24,34.72
2020-11-25,35.55
2020-11-26,37.11
2020-11-27,36.78
2020-11-30,36.74
2020-12-01,36.56
2020-12-02,36.98
2020-12-03,37.32
2020-12-04,37.57
2020-12-07,38.09
2020-12-08,38.91
2020-12-09,39.03
2020-12-10,38.61
2020-12-11,38.23
2020-12-14,37.42
2020-12-15,37.02
2020-12-16,37.77
2020-12-17,38.32
2020-12-18,37.47



