DATE,PREDICTED_CLOSE
2020-10-12,62.90
2020-10-13,62.45
2020-10-14,62.95
2020-10-15,64.00
2020-10-16,63.46
2020-10-19,64.27
2020-10-20,64.04
2020-10-21,64.85
2020-10-22,64.63
2020-10-23,62.97
2020-10-26,64.86
2020-10-27,64.58
2020-10-28,64.96
2020-10-29,65.09
2020-10-30,65.54
2020-11-02,65.49
2020-11-03,65.18
2020-11-04,65.15
2020-11-05,65.14
2020-11-06,64.88
2020-11-09,65.12
2020-11-10,65.73
2020-11-11,64.74
2020-11-12,64.95
2020-11-13,65.28
2020-11-16,65.05
2020-11-17,65.17
2020-11-18,65.78
2020-11-19,65.39
2020-11-20,65.46
2020-11-23,65.71
2020-11-24,66.05
2020-11-25,65.96
2020-11-26,65.46
2020-11-27,65.76
2020-11-30,65.64
2020-12-01,65.26
2020-12-02,65.48
2020-12-03,64.95
2020-12-04,64.26
2020-12-07,64.19
2020-12-08,63.73
2020-12-09,63.93
2020-12-10,64.17
2020-12-11,63.84
2020-12-14,63.92
2020-12-15,63.87
2020-12-16,65.06
2020-12-17,64.46
2020-12-18,63.63


