DATE,PREDICTED_CLOSE
2020-10-12,10.08
2020-10-13,10.27
2020-10-14,10.24
2020-10-15,10.07
2020-10-16,9.98
2020-10-19,10.19
2020-10-20,10.28
2020-10-21,10.65
2020-10-22,10.70
2020-10-23,10.74
2020-10-26,10.92
2020-10-27,10.64
2020-10-28,10.88
2020-10-29,10.89
2020-10-30,10.95
2020-11-02,10.98
2020-11-03,11.20
2020-11-04,11.29
2020-11-05,11.13
2020-11-06,10.99
2020-11-09,11.35
2020-11-10,11.54
2020-11-11,11.72
2020-11-12,11.64
2020-11-13,11.90
2020-11-16,11.77
2020-11-17,12.07
2020-11-18,10.84
2020-11-19,10.00
2020-11-20,9.88
2020-11-23,8.84
2020-11-24,8.01
2020-11-25,7.88
2020-11-26,7.88
2020-11-27,7.83
2020-11-30,7.83
2020-12-01,7.90
2020-12-02,7.87
2020-12-03,7.88
2020-12-04,7.90
2020-12-07,7.85
2020-12-08,7.88
2020-12-09,7.92
2020-12-10,8.02
2020-12-11,8.00
2020-12-14,8.06
2020-12-15,8.00
2020-12-16,8.01
2020-12-17,8.02
2020-12-18,8.08


