DATE,PREDICTED_CLOSE
2020-10-12,13.81
2020-10-13,13.69
2020-10-14,13.60
2020-10-15,13.64
2020-10-16,13.64
2020-10-19,13.82
2020-10-20,13.83
2020-10-21,13.35
2020-10-22,14.00
2020-10-23,13.42
2020-10-26,13.62
2020-10-27,13.87
2020-10-28,13.78
2020-10-29,13.74
2020-10-30,14.01
2020-11-02,13.65
2020-11-03,13.71
2020-11-04,13.43
2020-11-05,13.71
2020-11-06,13.83
2020-11-09,13.66
2020-11-10,13.65
2020-11-11,13.78
2020-11-12,13.78
2020-11-13,13.76
2020-11-16,13.79
2020-11-17,13.71
2020-11-18,13.73
2020-11-19,13.71
2020-11-20,13.58
2020-11-23,13.82
2020-11-24,13.93
2020-11-25,14.01
2020-11-26,14.01
2020-11-27,14.01
2020-11-30,13.81
2020-12-01,14.20
2020-12-02,13.79
2020-12-03,13.97
2020-12-04,14.03
2020-12-07,14.32
2020-12-08,14.22
2020-12-09,13.97
2020-12-10,13.80
2020-12-11,13.87
2020-12-14,13.84
2020-12-15,13.71
2020-12-16,13.51
2020-12-17,13.39
2020-12-18,13.82




