DATE,PREDICTED_CLOSE
2020-10-12,17.32
2020-10-13,17.15
2020-10-14,16.83
2020-10-15,16.31
2020-10-16,16.51
2020-10-19,17.38
2020-10-20,17.38
2020-10-21,17.25
2020-10-22,17.67
2020-10-23,17.71
2020-10-26,17.79
2020-10-27,17.63
2020-10-28,17.69
2020-10-29,17.42
2020-10-30,17.66
2020-11-02,17.71
2020-11-03,17.79
2020-11-04,17.50
2020-11-05,18.15
2020-11-06,18.16
2020-11-09,18.47
2020-11-10,18.59
2020-11-11,17.94
2020-11-12,17.87
2020-11-13,17.88
2020-11-16,18.05
2020-11-17,18.18
2020-11-18,18.53
2020-11-19,17.96
2020-11-20,17.61
2020-11-23,17.81
2020-11-24,18.22
2020-11-25,17.29
2020-11-26,17.38
2020-11-27,17.65
2020-11-30,17.38
2020-12-01,17.08
2020-12-02,18.74
2020-12-03,18.80
2020-12-04,17.88
2020-12-07,17.01
2020-12-08,17.26
2020-12-09,17.03
2020-12-10,17.28
2020-12-11,17.54
2020-12-14,17.59
2020-12-15,17.41
2020-12-16,17.64
2020-12-17,17.26
2020-12-18,17.19
