DATE,PREDICTED_CLOSE
2020-10-12,6.67
2020-10-13,6.66
2020-10-14,6.79
2020-10-15,6.52
2020-10-16,6.47
2020-10-19,6.69
2020-10-20,6.69
2020-10-21,6.94
2020-10-22,6.97
2020-10-23,6.89
2020-10-26,6.79
2020-10-27,6.88
2020-10-28,6.89
2020-10-29,6.89
2020-10-30,6.96
2020-11-02,7.08
2020-11-03,7.39
2020-11-04,7.18
2020-11-05,7.05
2020-11-06,7.04
2020-11-09,7.18
2020-11-10,7.38
2020-11-11,6.92
2020-11-12,7.17
2020-11-13,7.18
2020-11-16,6.58
2020-11-17,6.64
2020-11-18,5.94
2020-11-19,5.85
2020-11-20,5.95
2020-11-23,6.01
2020-11-24,5.87
2020-11-25,5.76
2020-11-26,5.61
2020-11-27,5.61
2020-11-30,5.59
2020-12-01,5.58
2020-12-02,5.62
2020-12-03,5.63
2020-12-04,5.68
2020-12-07,5.63
2020-12-08,5.77
2020-12-09,5.83
2020-12-10,5.83
2020-12-11,5.88
2020-12-14,5.72
2020-12-15,5.79
2020-12-16,5.86
2020-12-17,5.87
2020-12-18,5.84



