DATE,PREDICTED_CLOSE
2020-10-12,175.71
2020-10-13,174.03
2020-10-14,173.30
2020-10-15,171.71
2020-10-16,173.06
2020-10-19,174.99
2020-10-20,174.69
2020-10-21,174.48
2020-10-22,176.29
2020-10-23,173.64
2020-10-26,176.36
2020-10-27,175.80
2020-10-28,177.19
2020-10-29,176.21
2020-10-30,177.69
2020-11-02,178.84
2020-11-03,179.25
2020-11-04,178.02
2020-11-05,179.11
2020-11-06,177.64
2020-11-09,179.33
2020-11-10,177.76
2020-11-11,172.69
2020-11-12,171.06
2020-11-13,173.12
2020-11-16,173.02
2020-11-17,173.12
2020-11-18,172.47
2020-11-19,172.08
2020-11-20,171.93
2020-11-23,172.62
2020-11-24,175.23
2020-11-25,175.46
2020-11-26,169.08
2020-11-27,168.59
2020-11-30,168.14
2020-12-01,170.15
2020-12-02,177.27
2020-12-03,177.03
2020-12-04,179.25
2020-12-07,178.64
2020-12-08,182.88
2020-12-09,181.31
2020-12-10,180.16
2020-12-11,183.10
2020-12-14,183.00
2020-12-15,178.26
2020-12-16,177.88
2020-12-17,179.17
2020-12-18,176.74






